epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,203.692,1.01652,0.7592,0.92394,0.72934,0.66735,0.67929,0.31389,1.66014,1.57776,1.07535,0.00126432,0.00126432,0.00126432
63,206.64,1.02839,0.78071,0.94938,0.69484,0.64297,0.6462,0.28762,1.7589,1.63197,1.10101,0.00125772,0.00125772,0.00125772
64,209.525,1.03327,0.80883,0.92646,0.71571,0.60794,0.60122,0.28002,1.78834,1.58963,1.1029,0.00125112,0.00125112,0.00125112
65,212.374,1.03005,0.81113,0.92824,0.78202,0.63175,0.6391,0.30822,1.77312,1.525,1.10771,0.00124452,0.00124452,0.00124452
66,215.404,1.02188,0.78648,0.94791,0.65607,0.61746,0.53713,0.26233,1.63999,1.48996,1.06863,0.00123791,0.00123791,0.00123791
67,218.38,1.08512,0.76896,0.92948,0.64465,0.71825,0.66672,0.29501,1.68889,1.46042,1.09575,0.00123131,0.00123131,0.00123131
68,221.294,1.03616,0.75376,0.93988,0.71351,0.6873,0.69258,0.30262,1.75774,1.66306,1.11655,0.00122471,0.00122471,0.00122471
69,224.184,0.98288,0.703,0.91424,0.71023,0.67898,0.64701,0.28509,1.76219,1.70026,1.12144,0.00121811,0.00121811,0.00121811
70,227.169,1.02069,0.75837,0.90826,0.71558,0.64583,0.64473,0.26916,1.8138,1.7001,1.14021,0.00121151,0.00121151,0.00121151
71,230.203,1.00924,0.74065,0.92449,0.73317,0.65156,0.67822,0.29381,1.72694,1.65372,1.10333,0.00120491,0.00120491,0.00120491
72,233.081,1.0557,0.75727,0.93172,0.6541,0.65875,0.67185,0.2898,1.68554,1.63973,1.0975,0.00119831,0.00119831,0.00119831
73,236.005,0.99937,0.70854,0.91634,0.63044,0.64921,0.6366,0.2855,1.67888,1.69272,1.09736,0.0011917,0.0011917,0.0011917
74,238.967,1.01876,0.68011,0.90377,0.59249,0.65476,0.57178,0.25643,1.62653,1.85681,1.08789,0.0011851,0.0011851,0.0011851
75,241.9,1.05884,0.69998,0.91456,0.66576,0.68719,0.64452,0.29582,1.54252,1.65206,1.05963,0.0011785,0.0011785,0.0011785
